0040::2015年中国职业模特大赛::文体	模特	中国职业模特大赛组委会	国家级	组队赛	3066	免费
0041::2015年中国内衣模特大赛::文体	模特	中国内衣模特大赛组委会	国家级	组队赛	5628	免费
0042::2015年龙腾精英超级模特大赛::文体	模特	龙腾精英超级模特大赛组委会	国家级	组队赛	6884	免费
0043::2015年亚洲超级模特大赛::文体	模特	亚洲超级模特大赛组委会	国际级	组队赛	5876	免费
0044::2015年东方时尚电视模特大赛::文体	模特	东方时尚电视模特大赛组委会	国家级	组队赛	5930	免费
0045::2015年Elite世界精英模特大赛::文体	模特	Elite世界精英模特大赛组委会	国际级	组队赛	4414	免费
0046::2015年济南国际模特大赛::文体	模特	济南市政府	国际级	组队赛	3587	免费
0047::2015年环球小姐大赛::文体	模特	环球小姐大赛组委会	国际级	组队赛	3865	免费
0048::2015年美少女中国模特大赛::文体	模特	美少女中国模特大赛组委会	国家级	组队赛	3679	免费
0049::2015年国际泳装模特大赛::文体	模特	国际泳装模特大赛组委会	国际级	组队赛	3357	免费
0050::2015年世界比基尼模特大赛::文体	模特	世界比基尼模特大赛组委会	国际级	组队赛	3560	免费
0051::2015年全国大学生珠宝文化节—模特大赛::文体	模特	中国珠宝玉石首饰行业协会、国土资源部珠宝玉石首饰管理中心、共青团中国地质大学（北京）委员会、中国地质大学（北京）学生会	国家级	组队赛	4268	免费
0052::2015年“魅力中国 东方时尚”•OMC世界比基尼模特大赛::文体	模特	“魅力中国 东方时尚”•OMC世界比基尼模特大赛组委会	国际级	组队赛	3294	免费
0053::2015年中国模特之星大赛::文体	模特	中国模特之星大赛组委会	国家级	组队赛	4454	免费
0054::2015年世界超级模特大赛::文体	模特	世界超级模特大赛组委会	国际级	组队赛	3758	免费
0055::2015年上海国际模特大赛::文体	模特	上海国际模特大赛组委会	国际级	组队赛	3466	免费
0056::2015年第十届中国超级模特大赛::文体	模特	中国超级模特大赛组委会	国家级	组队赛	5853	免费
0057::“Golive全球播·2015金票根影迷形象大使暨英皇超级经纪人计划”评选活动::文体	模特	华夏时报、羽贝纳传媒、英皇文化、格瓦拉、锋仕路传媒	国际级	组队赛	2720	免费
0058::2020第三届全国集成电路“创业之芯”大赛开始报名::工科	材料高分子	工信部人才交流中心	省级	组队赛	28697	免费
0059::2020“SCIP+”绿色化学化工创新创业大赛::工科	材料高分子	创新创业大赛组织委员会	国家级	组队赛	3628	免费
0060::第八届“金三发，兰精，安德里茨”杯全国大学生非织造材料开发与应用::工科	材料高分子	中国纺织服装教育学会 中国产业用纺织品行业协会	省级	组队赛	1665	免费
0061::2020第八届中国大学生高分子材料创新创业大赛::工科	材料高分子	中国石油和化学工业联合会 中国化工教育协会 中共广饶县县委 广饶县人民政府 橡胶谷集团有限公司	国家级	组队赛	8251	免费
0062::第十三届“西门子杯”中国智能制造挑战赛吉林大学总通知::工科	材料高分子	吉林大学教务处	校级	组队赛	16410	免费
